FIPS,HAVI,HAVI_level,factor_variable,factor_label,domain,factor_weight,havi_component_value,weighted_contribution,signed_pct_contribution,abs_pct_contribution,direction
1001,50.268564356296245,Moderate Vulnerability,primary_care_providers_per_10k_havi,Primary Care Providers,Supply,0.049999999999999996,0.8211046176608242,0.04105523088304121,7.7246366102638975,7.7246366102638975,Increases HAVI
1001,50.268564356296245,Moderate Vulnerability,dentists_per_10k_havi,Dentists,Supply,0.049999999999999996,0.6314311708408946,0.03157155854204473,5.940261733072076,5.940261733072076,Increases HAVI
1001,50.268564356296245,Moderate Vulnerability,mental_health_providers_per_10k_havi,Mental Health Providers,Supply,0.049999999999999996,0.3597047245470585,0.017985236227352923,3.3839637780101453,3.3839637780101453,Increases HAVI
1001,50.268564356296245,Moderate Vulnerability,beds_per_1000_havi,Hospital Beds,Supply,0.049999999999999996,0.4250111265286205,0.02125055632643102,3.9983413040658644,3.9983413040658644,Increases HAVI
1001,50.268564356296245,Moderate Vulnerability,hospitals_per_100k_havi,Hospitals,Supply,0.049999999999999996,0.4527851475765419,0.022639257378827094,4.259628617748512,4.259628617748512,Increases HAVI
1001,50.268564356296245,Moderate Vulnerability,clinics_per_100k_havi,Rural Health Clinics,Supply,0.0,0.6905408985631868,0.0,0.0,0.0,Lowers HAVI
1001,50.268564356296245,Moderate Vulnerability,critical_access_per_100k_havi,Critical Access Hospitals,Supply,0.0,0.4620409369546357,0.0,0.0,0.0,Lowers HAVI
1001,50.268564356296245,Moderate Vulnerability,POS_FQHC_RATE_havi,FQHC Access,Supply,0.049999999999999996,0.4047166260451949,0.020235831302259744,3.8074184447256147,3.8074184447256147,Increases HAVI
1001,50.268564356296245,Moderate Vulnerability,ACS_PCT_AGE_ABOVE65_havi,Older Adults,Demand,0.075,-0.8541782223212336,-0.06406336667409251,-12.053670554118618,12.053670554118618,Lowers HAVI
1001,50.268564356296245,Moderate Vulnerability,disease_burden_composite_havi,Disease Burden,Demand,0.075,0.0533494043260371,0.004001205324452782,0.7528360325752786,0.7528360325752786,Increases HAVI
1001,50.268564356296245,Moderate Vulnerability,ACS_PCT_AGE_0_4_havi,Children Under 5,Demand,0.075,0.2413641976005565,0.018102314820041737,3.4059923859100407,3.4059923859100407,Increases HAVI
1001,50.268564356296245,Moderate Vulnerability,ACS_PCT_DISABLE_havi,Disability,Demand,0.075,-0.1095396240847962,-0.008215471806359715,-1.5457600145225672,1.5457600145225672,Lowers HAVI
1001,50.268564356296245,Moderate Vulnerability,pers_povty_pct_23_havi,Poverty,SDOH,0.044444444444444446,-0.5129165224195837,-0.022796289885314833,-4.289174646903052,4.289174646903052,Lowers HAVI
1001,50.268564356296245,Moderate Vulnerability,ACS_PCT_UNEMPLOY_havi,Unemployment,SDOH,0.044444444444444446,-0.978908730320734,-0.04350705468092151,-8.185952926447271,8.185952926447271,Lowers HAVI
1001,50.268564356296245,Moderate Vulnerability,ACS_PCT_RENTER_HU_COST_30PCT_havi,Housing Burden,SDOH,0.044444444444444446,-1.2157614504703502,-0.05403384224312668,-10.166592344190017,10.166592344190017,Lowers HAVI
1001,50.268564356296245,Moderate Vulnerability,ACS_PCT_HH_NO_INTERNET_havi,No Internet,SDOH,0.044444444444444446,-0.8420380891248773,-0.03742391507221677,-7.04139614486168,7.04139614486168,Lowers HAVI
1001,50.268564356296245,Moderate Vulnerability,rural_pct_havi,Rural Population,SDOH,0.044444444444444446,-0.6951511641854669,-0.030895607297131863,-5.813079943543662,5.813079943543662,Lowers HAVI
1001,50.268564356296245,Moderate Vulnerability,ACS_PCT_HH_LIMIT_ENGLISH_havi,Limited English,SDOH,0.044444444444444446,-0.4800000310800491,-0.02133333471466885,-4.0139162491962965,4.0139162491962965,Lowers HAVI
1001,50.268564356296245,Moderate Vulnerability,ACS_PCT_UNINSURED_havi,Uninsured,SDOH,0.044444444444444446,-0.3861600404173862,-0.017162668462994943,-3.229195751371005,3.229195751371005,Lowers HAVI
1001,50.268564356296245,Moderate Vulnerability,transport_vulnerability_havi,Transportation Vulnerability,SDOH,0.044444444444444446,-0.1974095989538944,-0.008773759953506419,-1.650803220169408,1.650803220169408,Lowers HAVI
1001,50.268564356296245,Moderate Vulnerability,POS_MEDIAN_DIST_CLINIC_havi,Distance to Clinic,SDOH,0.044444444444444446,1.0448504837599264,0.04643779927821895,8.737379298305004,8.737379298305004,Increases HAVI
1003,47.99456313024472,Moderate Vulnerability,primary_care_providers_per_10k_havi,Primary Care Providers,Supply,0.049999999999999996,0.0667697571162699,0.0033384878558134945,0.8087108983146539,0.8087108983146539,Increases HAVI
1003,47.99456313024472,Moderate Vulnerability,dentists_per_10k_havi,Dentists,Supply,0.049999999999999996,-0.0640516470725933,-0.0032025823536296644,-0.7757893285789426,0.7757893285789426,Lowers HAVI
1003,47.99456313024472,Moderate Vulnerability,mental_health_providers_per_10k_havi,Mental Health Providers,Supply,0.049999999999999996,-0.0644908630669376,-0.0032245431533468798,-0.7811090837597474,0.7811090837597474,Lowers HAVI
1003,47.99456313024472,Moderate Vulnerability,beds_per_1000_havi,Hospital Beds,Supply,0.049999999999999996,0.1500861532313245,0.007504307661566224,1.8178335978208802,1.8178335978208802,Increases HAVI
1003,47.99456313024472,Moderate Vulnerability,hospitals_per_100k_havi,Hospitals,Supply,0.049999999999999996,0.4646337690924171,0.02323168845462085,5.627613593617393,5.627613593617393,Increases HAVI
1003,47.99456313024472,Moderate Vulnerability,clinics_per_100k_havi,Rural Health Clinics,Supply,0.0,0.6905408985631868,0.0,0.0,0.0,Lowers HAVI
1003,47.99456313024472,Moderate Vulnerability,critical_access_per_100k_havi,Critical Access Hospitals,Supply,0.0,0.4620409369546357,0.0,0.0,0.0,Lowers HAVI
1003,47.99456313024472,Moderate Vulnerability,POS_FQHC_RATE_havi,FQHC Access,Supply,0.049999999999999996,0.4746140275453999,0.023730701377269993,5.748493826338166,5.748493826338166,Increases HAVI
